PlayerID,Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel
9000,43,male,Asia,Action,21.5,2,easy,18a,74,29,34,HIGH
9001,N/A,Male,N/A,Action,-17.66,104,Easy,5,30,19,18,Medium
9002,67,FEMALE,VN,N/A,37.05,3,HARD,8,110,24,11,Medium
9003,61,male,Other,Adventure,29.68,1005,Easy,9,125,93,49,MEDIUM
9004,61,FEMALE,Other,Puzzle,118.59,2,Unknown,14,378,31a,18,Low
9005,mười,MaLe,123,Sports,20.92,5,HARD,15,185,###,232,low
9006,24,male,Unknown,Puzzle,11.51,5,Unknown,8,1063,1060,43,low
9007,10,FEMALE,Europe,N/A,16.3,1,MEDIUM,-48,39,7,26,HIGH
9008,55,male,123,action,35.85,4,N/A,11,83,47,47,HIGH
9009,11,FEMALE,N/A,Puzzle,21.15,2,N/A,19,24,21,12,High
9010,59,FEMALE,N/A,Strategy,124.44,3,Medium,16,167,76,46,HIGH
9011,19,Male,VN,Action,29.27,2,N/A,###,131,46,24,High
9006,24,male,Unknown,Puzzle,11.51,5,Unknown,8,1063,1060,43,low
9008,55,male,123,action,35.85,4,N/A,11,83,47,47,HIGH
9014,61,Male,VN,Puzzle,15.93,0,N/A,10,68,-99,23a,MEDIUM
9015,40,MaLe,Europe,PUZZLE,-1.1,1,Medium,5,63,93,0,Low
9016,68,FEMALE,123,PUZZLE,16.41,1003,Hard,1,55,52,42,HIGH
9017,27,Male,usA,N/A,-37.49,3,Unknown,1,62,91,31,MEDIUM
9018,11,N/A,Europe,Sports,36.9,2,Hard,15,20,80,26,Low
9019,61,Male,usA,Puzzle,38.9,2,N/A,12,21,None,3,unknown
9020,10,N/A,Asia,Strategy,27.27,N/A,Medium,None,180,-8,-99,MEDIUM
9021,14,male,N/A,Action,37.56,5,MEDIUM,3,77,16a,48,MEDIUM
9022,69,Female,Europe,Puzzle,32.9,4,N/A,###,85,82,###,High
9023,64,MaLe,Asia,PUZZLE,37.58,200,N/A,6,45,11,47,Medium
9024,58,male,USA,PUZZLE,20.84,3a,Medium,15,96,60,40,High
9025,44,Other,Asia,PUZZLE,##.##,0,N/A,6,305,19,26,MEDIUM
9026,17,male,USA,adventure,12.4,4,N/A,None,75,95,46,Low
9027,61,fem@le,Asia,N/A,37.96,1,Easy,4,175,75,21,High
9028,64,fem@le,123,Action,11.8,101,Medium,8,172,5,34,MEDIUM
9029,10,Female,Europe,action,33.54,3,HARD,15,31,39,26,Medium
9030,39,N/A,Other,Sports,35.31,0,MEDIUM,###,179,16,mười,unknown
9031,58,Other,123,action,22.29,None,MEDIUM,-99,145,27,21,Medium
9032,45,FEMALE,Unknown,PUZZLE,1.06,102,N/A,10,136,51,21,High
9033,###,fem@le,Europe,Action,33.09,2,HARD,8,65,80,24,Low
9034,26,FEMALE,Other,Strategy,2.39,###,MEDIUM,N/A,68,30,3,unknown
9035,38,FEMALE,usA,PUZZLE,0.43,3,HARD,17,56,22,46,low
9036,-7,male,Europe,Adventure,24.51,2,HARD,19,127,90,17,HIGH
9037,13,Female,Europe,Adventure,0.34,3,N/A,###,92,6,49,Low
9038,58,Male,123,N/A,14.22,3,HARD,1,25,-99,25,MEDIUM
9039,55,fem@le,VN,Action,1032.68,2,Medium,16,74,78,44,High
9040,26,N/A,usA,Puzzle,36.65,0,Unknown,20,174,31,3,Medium
9041,47,fem@le,usA,Sports,20.23,4,N/A,13,39,98,14,Medium
9042,50,N/A,Unknown,Strategy,130.83,0,easy,1,94,62,1024,HIGH
9043,N/A,MaLe,usA,Adventure,33.52,5,HARD,17,43,17,102,unknown
9003,61,male,Other,Adventure,29.68,1005,Easy,9,125,93,49,MEDIUM
9045,48,Female,Europe,Action,33.85,2,Easy,13,mười,###,13,MEDIUM
9046,38,Female,Other,action,27.64,1000,Unknown,2,113,52,24,N/A
9047,21,Other,VN,N/A,19.06,5,easy,10,152,22,17,low
9048,149,male,Other,PUZZLE,1.69,5,HARD,5,147,79,19,High
9049,12,male,usA,adventure,6.12,1,HARD,8,67,59,20,MEDIUM
9050,-13,FEMALE,VN,Sports,-44.1,0,MEDIUM,7,70,96,46,low
9042,50,N/A,Unknown,Strategy,130.83,0,easy,1,94,62,1024,HIGH
9052,69,Male,N/A,adventure,1000.28,1,Hard,10,172,13,43,N/A
9053,28,Other,usA,adventure,2.37,None,Medium,14,95,69,33,Medium
9054,None,fem@le,Other,Adventure,22.64,5,N/A,7,N/A,58,43,MEDIUM
9055,13,fem@le,Europe,Puzzle,10.2,-99,N/A,19,55,88,17,N/A
9056,36,male,VN,Adventure,29.02,3a,Unknown,1,72,90,43,Medium
9057,65,N/A,Unknown,Puzzle,30.25,1002,Unknown,None,120,67,9,High
9058,35,male,N/A,Adventure,1.48,1,Medium,8,160,33,202,low
9059,45,fem@le,Europe,Strategy,1030.2,3,MEDIUM,13,149,2,###,Low
9060,40,Female,usA,Strategy,37.23,1000,Unknown,17a,85,29,39,low
9032,45,FEMALE,Unknown,PUZZLE,1.06,102,N/A,10,136,51,21,High
9062,125,MaLe,Asia,action,32.49,5,Hard,18,118,40,29,Low
9063,56,N/A,123,action,-1.1,3,MEDIUM,8,mười,mười,25,MEDIUM
9064,29,N/A,USA,PUZZLE,24.37,###,Unknown,###,92,82,31,unknown
9002,67,FEMALE,VN,N/A,37.05,3,HARD,8,110,24,11,Medium
9066,58,N/A,N/A,N/A,24.87,2,easy,111,111,4a,44,HIGH
9067,51,male,usA,Strategy,13.96,0a,easy,mười,85,41,50,Medium
9068,63,FEMALE,Other,Puzzle,32.53,5,Hard,1,158,89,13,Low
9069,38,MaLe,USA,action,32.25,0,Unknown,5,28,mười,36,low
9070,19,MaLe,Asia,PUZZLE,30.63,3,Easy,109,142,54,44,unknown
9071,62,N/A,VN,Puzzle,-1.1,2,easy,19,130,59,18,Low
9072,66,FEMALE,Europe,Action,##.##,###,MEDIUM,9,25,-99,20,High
9073,1032,fem@le,Other,adventure,16.54,3,Medium,5,70,69,27,N/A
9074,20,Female,N/A,Adventure,16.48,4,HARD,4,48,34,20,low
9075,66,fem@le,usA,Sports,25.58,3,easy,15,44,93,1,Low
9076,12,MaLe,usA,Action,22.11,-99,Easy,2,23,6,49,N/A
9077,20,Female,USA,Puzzle,0.29,3,N/A,16,20,74,25,Medium
9078,55,MaLe,usA,adventure,26.86,mười,Medium,7,155,296,-20,HIGH
9079,53,Other,123,PUZZLE,14.43,4,N/A,17,22,24,28,N/A
9080,48,FEMALE,Asia,N/A,34.15,###,Unknown,-45,69,16,46,HIGH
9081,40,Female,VN,N/A,N/A,5,HARD,3,32,30,18,High
9082,13,Male,USA,action,##.##,0,Easy,11,132,35,38,MEDIUM
9083,32,N/A,123,adventure,22.8,4,Hard,-99,95,37,6,High
9007,10,FEMALE,Europe,N/A,16.3,1,MEDIUM,-48,39,7,26,HIGH
9085,39,Female,123,Adventure,20.03,5,Hard,9,128,23,36,MEDIUM
9086,16,Other,usA,PUZZLE,4.31,101,N/A,1,143,24,47,Medium
9087,53,MaLe,N/A,Puzzle,25.45,2,Medium,4,170,32,2,low
9088,1057,N/A,123,Sports,28.18,N/A,HARD,4,95,76,50,unknown
9089,32,Female,Asia,Puzzle,25.0,1,N/A,12,178,90,47,Low
9090,68,Male,Other,Action,-1.1,4,Unknown,10,80,38,15,HIGH
9091,22a,male,N/A,Sports,1.0,3,N/A,14,176,191,5,Medium
